	SM200303_4_015	SM200303_4_016	SM200303_4_028	SM200303_4_039	SM200303_4_040	SM200303_4_063	SM200303_4_076	SM200303_4_087	SM200303_4_088	diploid
SM200303_4_015	0.0	42.0	51.0	85.0	41.0	43.0	39.0	48.0	43.0	161.0
SM200303_4_016	42.0	0.0	35.0	67.0	27.0	31.0	28.0	37.0	23.0	152.0
SM200303_4_028	51.0	35.0	0.0	86.0	38.0	43.0	37.0	48.0	37.0	159.0
SM200303_4_039	85.0	67.0	86.0	0.0	79.0	79.0	82.0	87.0	74.0	145.0
SM200303_4_040	41.0	27.0	38.0	79.0	0.0	45.0	38.0	44.0	31.0	160.0
SM200303_4_063	43.0	31.0	43.0	79.0	45.0	0.0	35.0	51.0	36.0	163.0
SM200303_4_076	39.0	28.0	37.0	82.0	38.0	35.0	0.0	47.0	25.0	159.0
SM200303_4_087	48.0	37.0	48.0	87.0	44.0	51.0	47.0	0.0	42.0	164.0
SM200303_4_088	43.0	23.0	37.0	74.0	31.0	36.0	25.0	42.0	0.0	157.0
diploid	161.0	152.0	159.0	145.0	160.0	163.0	159.0	164.0	157.0	0.0
