	SM200303_4_001	SM200303_4_002	SM200303_4_013	SM200303_4_014	SM200303_4_025	SM200303_4_026	SM200303_4_037	SM200303_4_038	SM200303_4_049	SM200303_4_050	SM200303_4_061	SM200303_4_062	SM200303_4_073	SM200303_4_085	SM200303_4_086	diploid
SM200303_4_001	0.0	65.0	52.0	42.0	62.0	50.0	64.0	54.0	51.0	45.0	65.0	32.0	56.0	63.0	55.0	96.0
SM200303_4_002	65.0	0.0	43.0	53.0	57.0	28.0	36.0	43.0	35.0	44.0	45.0	59.0	36.0	61.0	41.0	90.0
SM200303_4_013	52.0	43.0	0.0	44.0	49.0	34.0	48.0	26.0	42.0	41.0	49.0	45.0	38.0	51.0	44.0	91.0
SM200303_4_014	42.0	53.0	44.0	0.0	57.0	45.0	57.0	45.0	51.0	39.0	60.0	46.0	49.0	60.0	50.0	97.0
SM200303_4_025	62.0	57.0	49.0	57.0	0.0	49.0	58.0	49.0	54.0	52.0	60.0	56.0	50.0	49.0	51.0	95.0
SM200303_4_026	50.0	28.0	34.0	45.0	49.0	0.0	35.0	33.0	26.0	37.0	28.0	47.0	26.0	49.0	26.0	88.0
SM200303_4_037	64.0	36.0	48.0	57.0	58.0	35.0	0.0	45.0	36.0	51.0	46.0	57.0	32.0	61.0	42.0	93.0
SM200303_4_038	54.0	43.0	26.0	45.0	49.0	33.0	45.0	0.0	39.0	46.0	53.0	47.0	38.0	58.0	43.0	94.0
SM200303_4_049	51.0	35.0	42.0	51.0	54.0	26.0	36.0	39.0	0.0	45.0	43.0	51.0	29.0	59.0	35.0	94.0
SM200303_4_050	45.0	44.0	41.0	39.0	52.0	37.0	51.0	46.0	45.0	0.0	54.0	43.0	46.0	55.0	46.0	88.0
SM200303_4_061	65.0	45.0	49.0	60.0	60.0	28.0	46.0	53.0	43.0	54.0	0.0	60.0	32.0	62.0	40.0	80.0
SM200303_4_062	32.0	59.0	45.0	46.0	56.0	47.0	57.0	47.0	51.0	43.0	60.0	0.0	52.0	55.0	51.0	87.0
SM200303_4_073	56.0	36.0	38.0	49.0	50.0	26.0	32.0	38.0	29.0	46.0	32.0	52.0	0.0	49.0	27.0	93.0
SM200303_4_085	63.0	61.0	51.0	60.0	49.0	49.0	61.0	58.0	59.0	55.0	62.0	55.0	49.0	0.0	59.0	87.0
SM200303_4_086	55.0	41.0	44.0	50.0	51.0	26.0	42.0	43.0	35.0	46.0	40.0	51.0	27.0	59.0	0.0	94.0
diploid	96.0	90.0	91.0	97.0	95.0	88.0	93.0	94.0	94.0	88.0	80.0	87.0	93.0	87.0	94.0	0.0
