	SM200303_4_009	SM200303_4_010	SM200303_4_021	SM200303_4_033	SM200303_4_034	SM200303_4_046	SM200303_4_057	SM200303_4_058	SM200303_4_069	SM200303_4_070	SM200303_4_081	SM200303_4_093	SM200303_4_094	diploid
SM200303_4_009	0.0	112.0	83.0	73.0	74.0	76.0	71.0	75.0	69.0	86.0	98.0	65.0	89.0	86.0
SM200303_4_010	112.0	0.0	117.0	97.0	97.0	101.0	95.0	102.0	95.0	101.0	97.0	99.0	110.0	100.0
SM200303_4_021	83.0	117.0	0.0	59.0	62.0	52.0	60.0	68.0	61.0	73.0	88.0	55.0	86.0	91.0
SM200303_4_033	73.0	97.0	59.0	0.0	32.0	43.0	37.0	42.0	34.0	40.0	77.0	31.0	71.0	95.0
SM200303_4_034	74.0	97.0	62.0	32.0	0.0	44.0	43.0	34.0	38.0	31.0	74.0	37.0	67.0	99.0
SM200303_4_046	76.0	101.0	52.0	43.0	44.0	0.0	40.0	42.0	38.0	55.0	76.0	40.0	74.0	89.0
SM200303_4_057	71.0	95.0	60.0	37.0	43.0	40.0	0.0	45.0	35.0	41.0	69.0	35.0	73.0	88.0
SM200303_4_058	75.0	102.0	68.0	42.0	34.0	42.0	45.0	0.0	44.0	45.0	74.0	38.0	79.0	101.0
SM200303_4_069	69.0	95.0	61.0	34.0	38.0	38.0	35.0	44.0	0.0	41.0	80.0	27.0	74.0	93.0
SM200303_4_070	86.0	101.0	73.0	40.0	31.0	55.0	41.0	45.0	41.0	0.0	82.0	46.0	83.0	107.0
SM200303_4_081	98.0	97.0	88.0	77.0	74.0	76.0	69.0	74.0	80.0	82.0	0.0	75.0	107.0	78.0
SM200303_4_093	65.0	99.0	55.0	31.0	37.0	40.0	35.0	38.0	27.0	46.0	75.0	0.0	73.0	92.0
SM200303_4_094	89.0	110.0	86.0	71.0	67.0	74.0	73.0	79.0	74.0	83.0	107.0	73.0	0.0	105.0
diploid	86.0	100.0	91.0	95.0	99.0	89.0	88.0	101.0	93.0	107.0	78.0	92.0	105.0	0.0
