	SM200303_4_012	SM200303_4_024	SM200303_4_035	SM200303_4_036	SM200303_4_047	SM200303_4_059	SM200303_4_060	SM200303_4_071	SM200303_4_072	SM200303_4_083	SM200303_4_095	diploid
SM200303_4_012	0.0	91.0	87.0	85.0	83.0	78.0	80.0	91.0	106.0	100.0	89.0	114.0
SM200303_4_024	91.0	0.0	53.0	67.0	51.0	58.0	51.0	49.0	82.0	68.0	54.0	101.0
SM200303_4_035	87.0	53.0	0.0	60.0	53.0	48.0	46.0	40.0	81.0	67.0	45.0	88.0
SM200303_4_036	85.0	67.0	60.0	0.0	64.0	62.0	48.0	68.0	67.0	61.0	60.0	83.0
SM200303_4_047	83.0	51.0	53.0	64.0	0.0	51.0	48.0	55.0	76.0	76.0	56.0	99.0
SM200303_4_059	78.0	58.0	48.0	62.0	51.0	0.0	49.0	43.0	75.0	74.0	53.0	95.0
SM200303_4_060	80.0	51.0	46.0	48.0	48.0	49.0	0.0	48.0	65.0	62.0	45.0	81.0
SM200303_4_071	91.0	49.0	40.0	68.0	55.0	43.0	48.0	0.0	76.0	67.0	47.0	93.0
SM200303_4_072	106.0	82.0	81.0	67.0	76.0	75.0	65.0	76.0	0.0	83.0	76.0	96.0
SM200303_4_083	100.0	68.0	67.0	61.0	76.0	74.0	62.0	67.0	83.0	0.0	64.0	99.0
SM200303_4_095	89.0	54.0	45.0	60.0	56.0	53.0	45.0	47.0	76.0	64.0	0.0	90.0
diploid	114.0	101.0	88.0	83.0	99.0	95.0	81.0	93.0	96.0	99.0	90.0	0.0
